IP,POOL,WORKER
192.168.2.175,stratum-lb-usa48.btcguild.com,ASICMINER_2175
192.168.2.176,stratum-lb-usa48.btcguild.com,ASICMINER_2176
192.168.2.177,stratum-lb-usa48.btcguild.com,ASICMINER_2177
192.168.2.178,stratum-lb-usa48.btcguild.com,ASICMINER_2178
192.168.2.179,stratum-lb-usa48.btcguild.com,ASICMINER_2179
192.168.2.180,stratum-lb-usa48.btcguild.com,ASICMINER_2180
192.168.2.181,stratum-lb-usa48.btcguild.com,ASICMINER_2181
192.168.2.182,stratum-lb-usa48.btcguild.com,ASICMINER_2182
192.168.2.183,stratum-lb-usa48.btcguild.com,ASICMINER_2183
192.168.2.184,stratum-lb-usa48.btcguild.com,ASICMINER_2184
